year,Top decile as % median - Gross individual earnings
1931.0,234.9
1941.0,219.3
1950.0,167.9
1953.0,165.4
1956.0,172.6
1959.0,173.6
1964.0,180.4
1967.0,177.9
1973.0,178.6
1981.0,179.3
1986.0,182.9
1988.0,186.3
1990.0,184.7
1991.0,188.1
1992.0,182.0
1993.0,182.2
1994.0,183.5
1997.0,176.3
1998.0,179.5
1999.0,181.2
2000.0,180.3
2001.0,181.5
2002.0,183.0
2003.0,183.8
2004.0,184.3
2005.0,186.9
2006.0,187.3
2007.0,188.7
2008.0,188.4
2009.0,190.4
2010.0,188.5
2011.0,190.9
2012.0,189.8
2013.0,194.4
2014.0,190.4
2015.0,190.7
2016.0,188.3
2017.0,190.8
2018.0,188.8
2019.0,189.7
2020.0,183.3
