year,Top decile as % median - Gross individual earnings
1971.0,195.9
1975.0,176.9
1977.0,168.4
1980.0,165.5
1983.0,169.4
1986.0,169.5
1987.0,169.8
1988.0,168.4
1989.0,171.4
1990.0,170.0
1991.0,168.3
1992.0,165.8
1993.0,164.8
1994.0,168.2
1995.0,165.7
1996.0,164.0
1997.0,169.0
1998.0,172.9
1999.0,169.1
2000.0,171.5
2001.0,173.0
2002.0,170.6
2003.0,172.4
2004.0,169.2
2005.0,175.1
2006.0,172.5
2007.0,176.3
2008.0,175.8
2009.0,175.9
2010.0,173.7
2011.0,174.6
2012.0,173.0
2013.0,172.9
2014.0,175.6
2015.0,177.4
2016.0,174.7
2017.0,178.6
2018.0,176.4
2019.0,174.7
