year,Top decile as % median - Gross individual earnings
1949.0,159.2
1951.0,164.0
1957.0,162.8
1962.0,163.8
1966.0,163.6
1972.0,160.9
1978.0,163.0
1990.0,174.4
1992.0,174.5
1993.0,177.9
1994.0,171.3
1995.0,174.9
1996.0,177.3
1997.0,175.0
1998.0,174.7
1999.0,178.3
2000.0,177.6
2001.0,173.9
2002.0,174.0
2003.0,169.4
2004.0,175.0
2005.0,172.0
2006.0,177.9
2007.0,177.5
2008.0,178.5
2009.0,178.8
2010.0,178.6
2011.0,186.1
2012.0,181.2
2013.0,186.5
2014.0,183.3
2015.0,190.2
2016.0,181.6
2017.0,184.0
2018.0,186.4
2019.0,184.6
