year,Top decile as % median - Gross individual earnings
1951.0,215.0
1952.0,217.1
1953.0,230.5
1954.0,225.4
1955.0,221.2
1956.0,226.4
1957.0,229.5
1958.0,228.5
1959.0,225.4
1960.0,225.4
1961.0,220.2
1962.0,215.0
1963.0,209.8
1964.0,206.7
1965.0,201.6
1966.0,199.5
1967.0,194.3
1968.0,193.3
1969.0,190.2
1970.0,187.1
1971.0,183.0
1972.0,184.0
1973.0,180.9
1974.0,176.8
1975.0,175.7
1976.0,176.3
1977.0,175.5
1978.0,176.1
1979.0,175.7
1980.0,175.6
1981.0,176.8
1982.0,179.1
1983.0,181.8
1984.0,183.2
1985.0,181.0
1986.0,182.8
1987.0,183.9
1988.0,185.1
1989.0,186.5
1990.0,187.2
1991.0,185.9
1992.0,185.0
1993.0,184.4
1994.0,184.8
1995.0,184.9
1996.0,184.7
1997.0,184.9
1998.0,184.0
1999.0,183.5
2000.0,183.6
2001.0,182.6
2002.0,183.3
2003.0,182.0
2004.0,182.3
2005.0,186.2
2006.0,185.7
2007.0,185.8
2008.0,183.8
2009.0,184.6
2010.0,183.2
2011.0,184.1
2012.0,185.3
2013.0,184.1
2014.0,184.1
2015.0,185.2
2016.0,182.2
2017.0,182.0
2018.0,181.8
2019.0,180.7
2020.0,180.7
