Country,Reference,Reference URL
Argentina,"Altimir, O. (1986). Estimaciones de la Distribución del Ingreso en la Argentina, 1953-1980. ""Desarrollo Económico, 25(100), 521"". https://doi.org/10.2307/3466844",https://www.jstor.org/stable/3466844
Argentina,"Alvaredo, F. (2010). The rich in Argentina over the twentieth century 1932-2004. In ""Top incomes: A global perspective"", 253–284. Oxford University Press.","https://books.google.com/books?hl=en&lr=&id=eGaVAwAAQBAJ&oi=fnd&pg=PA253&dq=Alvaredo,+F,+2010,+%E2%80%9CThe+rich+in+Argentina+over+the+twentieth+century+1932-2004%E2%80%9D+in+A+B+Atkinson+and+T+Pikett&ots=wfMrsULQyg&sig=cKqjoYD2Yy5S7HWJOqD5-5yOSLU#v=onepage&q&f=false"
Argentina,"Chancel, L., & Piketty, T. (2021). ""Countries with Regional Income Imputations on WID.world"". WID.world. Retrieved from http://wordpress.wid.world/document/countries-with-regional-income-imputations-on-wid-world-world-inequality-lab-technical-note-2021-15/",http://wordpress.wid.world/document/countries-with-regional-income-imputations-on-wid-world-world-inequality-lab-technical-note-2021-15/
Argentina,"Cruces, G., & Gasparini, L. (2008). A Distribution in Motion: The Case of Argentina. ""Universidad Nacional De La Plata, Centro De Estudios Distributivos, Laborales y Sociales (CEDLAS)"".",https://www.econstor.eu/handle/10419/127594
Argentina,"De Rosa, M., Flores, I., & Morgan, M. (2021). ""2021 DINA Regional Update for Latin America"". WID.world. Retrieved from http://wordpress.wid.world/document/2021-dina-regional-update-for-latin-america-world-inequality-lab-technical-note-2021-7/",http://wordpress.wid.world/document/2021-dina-regional-update-for-latin-america-world-inequality-lab-technical-note-2021-7/
Argentina,"Gasparini, L., Cruces, G., & Tornarolli, L. (2011). Recent trends in income inequality in Latin America. ""Economía, 11(2)"", 147–190. https://doi.org/10.1353/eco.2011.0002",https://muse.jhu.edu/article/430783
Australia,"Atkinson, A. B. (2008). ""The Changing Distribution of earnings in OECD countries"". Oxford University Press.",https://books.google.com/books/about/Top_Incomes.html?id=zLQUDAAAQBAJ
Australia,"Atkinson, A. B., & Leigh, A. (2007). The distribution of top incomes in Australia. ""Economic Record, 83(262)"", 247-261.",https://onlinelibrary.wiley.com/doi/full/10.1111/j.1475-4932.2007.00412.x?casa_token=ppDgrAPAhFIAAAAA%3AR5Wmba9DMv0INE4b4WSFfum5bp2lF9Yu0ohdnGwjzeEDzrh_owtiX16R6WU16jeelDFXQu1euuMbQnI
Australia,"Burkhauser, R. V., Hahn, M. H., & Wilkins, R. (2015). Measuring top incomes using tax record data: A cautionary tale from Australia. ""The Journal of Economic Inequality, 13(2)"", 181-205.",https://link.springer.com/article/10.1007/s10888-014-9281-z
Australia,"Hancock, K. (1971). The economics of social welfare in the 1970s. ""Social Welfare in the 1970s"", Australian Council of Social Service, Sydney.",
Australia,"Ingles, D. (1981). Statistics on the Distribution of Income and Wealth in Australia. ""Research Paper 14"", Department of Social Security, Canberra.",
